"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.405668083E0,-6.755897176E-2,-6.992858788E-3,-1.072847128E-2,6.876201593E-2
2.415612083E0,-5.027119446E-2,-3.170999866E-3,-8.482555747E-3,5.108034832E-2
2.425556083E0,-6.220692391E-2,-1.912592720E-2,-3.242865801E-3,6.516148135E-2
2.435500083E0,-7.967633491E-2,-1.224178551E-2,-1.970745564E-2,8.298532078E-2
2.445444083E0,-4.448200786E-2,-1.895052443E-2,1.936188519E-2,5.208314504E-2
2.455388083E0,-6.227169553E-2,-2.051888015E-2,3.118729413E-2,7.260465427E-2
2.465332083E0,-6.179534388E-2,-6.139421118E-3,-3.692048907E-2,7.224596550E-2
2.475276083E0,-5.711476196E-2,-1.190997886E-2,1.711713910E-2,6.080246772E-2
2.485220083E0,-4.448309507E-2,-2.429172296E-2,1.606873333E-2,5.316989508E-2
2.495165083E0,-9.139334195E-2,4.781761598E-3,-4.425640583E-2,1.016574525E-1
2.505109083E0,-1.095170610E-1,-6.899632243E-3,-9.977104068E-3,1.101868149E-1
2.515053083E0,-7.604223557E-2,-9.082320188E-3,7.535891533E-3,7.695258145E-2
2.524997083E0,-8.247336879E-2,-2.227305855E-2,5.483518839E-2,1.015127755E-1
2.534941083E0,-1.657256598E-1,-4.314278077E-2,-2.629609823E-2,1.732563956E-1
2.544885083E0,-1.413089115E-1,-3.492576627E-2,-1.806321859E-2,1.466775289E-1
2.554829083E0,-1.369225313E-1,-7.874888428E-3,2.891448140E-3,1.371792766E-1
2.564773083E0,-1.969137945E-1,-6.094169151E-4,-1.671952844E-2,1.976232691E-1
2.574717083E0,-2.003903662E-1,-4.625433546E-2,3.148023963E-2,2.080547233E-1
2.584661083E0,-1.259128090E-1,-4.456841417E-2,-5.084680259E-2,1.429187753E-1
2.594605083E0,-9.176801143E-2,-1.145676940E-2,-6.311835408E-2,1.119667456E-1
2.604549083E0,-1.008085743E-1,-1.371647157E-3,2.893903971E-2,1.048890751E-1
2.614493083E0,-7.955158822E-2,-1.780601876E-2,6.680736244E-2,1.053979752E-1
